Num,Prio,Summary,Resolver_group,Active,Summary_Clean,Summary_Clean_lemmatized,Final_cleaned,Resolver_group_Clean,Resolver_group_Clean_lemmatized,topic,top_words
INC0111305,2 - High,Critical ALERT:  A QVS.exe component  on AUS-BIPRD-N1 is in a current state of: Down,Windows Support,False,critical alert  a qvsexe component  on ausbi,critical alert   a qvsexe component   on ausbi,windows support,                windows support,                 window support,14,point-wpm
INC0111306,2 - High,Critical ALERT:  A QVS.exe component  on AUS-BIPRD-N2 is in a current state of: Down,Windows Support,False,critical alert  a qvsexe component  on ausbi,critical alert   a qvsexe component   on ausbi,windows support,                windows support,                 window support,14,point-wpm
INC0111307,2 - High,WPM Critical Alert : A qlikview transaction state is Down,Business Intelligence  Support ,False,wpm critical alert  a qlikview transaction sta,wpm critical alert   a qlikview transaction sta,business intelligence support,business intelligence  support ,business intelligence   support,9,gbvvscl3-warn
INC0111308,2 - High,WPM Critical Alert : A Qlikview _Access Point - SIOP_Forecast_Viewer transaction state is Down,Business Intelligence  Support ,False,wpm critical alert  a qlikview _access point ,wpm critical alert   a qlikview _ access point,business intelligence support,business intelligence  support ,business intelligence   support,9,gbvvscl3-warn
INC0111309,2 - High,WPM Critical Alert : A Qlikview_Access Point - sca_buy_reqs.qvw transaction state is Down,Business Intelligence  Support ,False,wpm critical alert  a qlikview_access point  ,wpm critical alert   a qlikview_access point  ,business intelligence support,business intelligence  support ,business intelligence   support,14,point-wpm
INC0111310,2 - High,WPM Critical Alert : A Qlikview_Access Point - INCORACHEM_ANYDOC_FILEBOUND_VOUCHERED_DASHBOARD.QVW transaction state is Down,Business Intelligence  Support ,False,wpm critical alert  a qlikview_access point  ,wpm critical alert   a qlikview_access point  ,business intelligence support,business intelligence  support ,business intelligence   support,14,point-wpm
INC0111311,2 - High,WPM Critical Alert : A Qlikview_Access Point - SALES_4_CORNER_DASHBOARD.QVW transaction state is Down,Business Intelligence  Support ,False,wpm critical alert  a qlikview_access point  ,wpm critical alert   a qlikview_access point  ,business intelligence support,business intelligence  support ,business intelligence   support,14,point-wpm
INC0111312,2 - High,WPM Critical Alert : A Qlikview_Access Point - SIOP_FORECAST_ACCURACY.QVW transaction state is Down,Business Intelligence  Support ,False,wpm critical alert  a qlikview_access point  ,wpm critical alert   a qlikview_access point  ,business intelligence support,business intelligence  support ,business intelligence   support,14,point-wpm
INC0111313,2 - High,WPM Critical Alert : A Qlikview_Access Point - SCA_Procurement transaction state is Down,Business Intelligence  Support ,False,wpm critical alert  a qlikview_access point  ,wpm critical alert   a qlikview_access point  ,business intelligence support,business intelligence  support ,business intelligence   support,14,point-wpm
INC0111314,2 - High,WPM Critical Alert : A Qlikview_Access Point - sca_customer_alignment.qvw transaction state is Down,Business Intelligence  Support ,False,wpm critical alert  a qlikview_access point  ,wpm critical alert   a qlikview_access point  ,business intelligence support,business intelligence  support ,business intelligence   support,14,point-wpm
INC0111315,2 - High,WPM Critical Alert : A Qlikview _Access Point - HAAS ON TIME DELIVERY OOR OTD.QVW transaction state is Down,Business Intelligence  Support ,False,wpm critical alert  a qlikview _access point ,wpm critical alert   a qlikview _ access point,business intelligence support,business intelligence  support ,business intelligence   support,9,gbvvscl3-warn
INC0111316,2 - High,WPM Critical Alert : A Qlikview_Access Point - HARDWARE OPEN ORDERS.QVW transaction state is Down,Business Intelligence  Support ,False,wpm critical alert  a qlikview_access point  ,wpm critical alert   a qlikview_access point  ,business intelligence support,business intelligence  support ,business intelligence   support,14,point-wpm
INC0111317,2 - High,WPM Critical Alert : A Qlikview_Access Point - SIOP_LOB_ALL.QVW transaction state is Down,Business Intelligence  Support ,False,wpm critical alert  a qlikview_access point  ,wpm critical alert   a qlikview_access point  ,business intelligence support,business intelligence  support ,business intelligence   support,14,point-wpm
INC0111318,2 - High,WPM Critical Alert : A Qlikview_Access Point - SIOP_Delivery_Assurance_Dashboard transaction state is Down,Business Intelligence  Support ,False,wpm critical alert  a qlikview_access point  ,wpm critical alert   a qlikview_access point  ,business intelligence support,business intelligence  support ,business intelligence   support,14,point-wpm
INC0111319,2 - High,WPM Critical Alert : A Qlikview_Access Point - SCA_Supplier_Scorecard transaction state is Down,Business Intelligence  Support ,False,wpm critical alert  a qlikview_access point  ,wpm critical alert   a qlikview_access point  ,business intelligence support,business intelligence  support ,business intelligence   support,14,point-wpm
INC0111320,3 - Moderate,Alert: CPU Utilization on AUS-BI01 is Critical	,Windows Support,False,  alert cpu utilization on ausbi01 is criticalt,   alert cpu utilization on ausbi01 be criticalt,windows support,                windows support,                 window support,13,memory-warn
INC0111322,3 - Moderate,TIER 3 - Critical Device Down: MX-MEX-891-TRI-R01.wescoaircraft.com is Down,Network Support,False,tier 3  critical device down mxmex891trir,tier 3   critical device down mxmex891trir,network support,                network support,                 network support,12,tier-critical
INC0111323,3 - Moderate,ALERT: Critical disk utilization in TXAU-SQL19-N1,Windows Support,False, alert critical disk utilization in txausql19n1,  alert critical disk utilization in txausql19n1,windows support,                windows support,                 window support,7,disk-space
INC0111324,3 - Moderate,"GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - TRI: Mexicali - AMER - Calle El Rey del Desierto 66 El Sahuaro, Mexicali 21395, B.C., Mexico",Network Support,False,group alert group is down  network team ticke,group alert group be down   network team ticke,network support,                network support,                 network support,0,group-network
INC0111325,2 - High,TIER 2 - Non-Critical Device Down: US-CSP-891-R01.wescoaircraft.com is Down,Network Support,False,tier 2  noncritical device down uscsp891r,tier 2   noncritical device down uscsp891r,network support,                network support,                 network support,9,gbvvscl3-warn
INC0111327,3 - Moderate,"GROUP ALERT: Group is Down - Network Team Tickets: Tier2  - Colorado Springs - AMER - 1275 North Newport Road, Colorado Springs, Colorado 80913, USA",Network Support,False,group alert group is down  network team ticke,group alert group be down   network team ticke,network support,                network support,                 network support,0,group-network
INC0111328,3 - Moderate,Alert: CPU Utilization in GJDEWEB04 is Warning	,JDE CNC Technical,False,  alert cpu utilization in gjdeweb04 is warningt,   alert cpu utilization in gjdeweb04 be warningt,jde cnc,              jde cnc technical,               jde cnc technical,8,warningt-ausmcl01
INC0111329,2 - High,TIER 2 - Non-Critical Device Down: US-CSP-891-R01.wescoaircraft.com is Down,Network Support,False,tier 2  noncritical device down uscsp891r,tier 2   noncritical device down uscsp891r,network support,                network support,                 network support,9,gbvvscl3-warn
INC0111330,2 - High,Critical ALERT:  A Baseline Services_Windows component  on XA6531 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0111338,3 - Moderate,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %,Windows Support,False,warning alert memory utilization on gbvvssq6 i,warn alert memory utilization on gbvvssq6 I,windows support,                windows support,                 window support,13,memory-warn
INC0111343,4 - Low,ALERT: DISK SPACE on usauitadmust01-C:\ Label: 1CDB9A83 has currently 15 % is available,Windows Support,False,alert disk space on usauitadmust01c label ,alert disk space on usauitadmust01c label,windows support,                windows support,                 window support,7,disk-space
INC0111345,2 - High,Alert: CPU Utilization on GBVVSDV1 is Critical	,Windows Support,False,  alert cpu utilization on gbvvsdv1 is criticalt,   alert cpu utilization on gbvvsdv1 be criticalt,windows support,                windows support,                 window support,5,utilization-gbvvssq10
INC0111347,3 - Moderate,Critical ALERT:  A Commander (label printing server) Monitoring component  on   CAV-CMDR01 is in a current state of: Down,Windows Support,False,critical alert  a commander label printing se,critical alert   a commander label print se,windows support,                windows support,                 window support,6,component-microsoft
INC0111348,2 - High, NODE ALERT: ITEST2.WESCOHQ.COM is Down,JDE CNC Technical,False,            node alert itest2wescohqcom is down,             node alert itest2wescohqcom be down,jde cnc,              jde cnc technical,               jde cnc technical,2,baseline-services_window
INC0111351,4 - Low, NODE ALERT: VALJDELOG01 has rebooted,JDE CNC Technical,False,              node alert valjdelog01 has rebooted,               node alert valjdelog01 have reboot,jde cnc,              jde cnc technical,               jde cnc technical,3,node-reboot
INC0111352,3 - Moderate,TIER 3 - Critical Device Down: CN-HAN-C1111-R01.wescoaircraft.com is Down,Network Support,False,tier 3  critical device down cnhanc1111r01,tier 3   critical device down cnhanc1111r01,network support,                network support,                 network support,4,inban2921r01-device
INC0111354,4 - Low, NODE ALERT: DEVJDEJAS2 has rebooted,JDE CNC Technical,False,               node alert devjdejas2 has rebooted,                node alert devjdejas2 have reboot,jde cnc,              jde cnc technical,               jde cnc technical,3,node-reboot
INC0111359,3 - Moderate,ALERT:  A Baseline _Linux component  on tcmpoc-sdsadm01.haasgroupintl.com is  Down,Linux Support,False,alert  a baseline _linux component  on tcmpoc,alert   a baseline _ linux component   on tcmpoc,linux support,                  linux support,                   linux support,6,component-microsoft
INC0111363,3 - Moderate,Alert: Memory Utilization on infprd-rdeck01.haasgroupintl.com is warning,Linux Support,False,alert memory utilization on infprdrdeck01haa,alert memory utilization on infprdrdeck01haa,linux support,                  linux support,                   linux support,1,cpu-utilization
INC0111364,3 - Moderate,Warning Alert: Memory Utilization on usauitadmust01 is : 94 %,Windows Support,False,warning alert memory utilization on usauitadmu,warn alert memory utilization on usauitadmu,windows support,                windows support,                 window support,13,memory-warn
INC0111365,2 - High,Critical ALERT:  A Baseline Services_Windows component  on XA6509 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0111366,2 - High,Critical ALERT:  A Baseline Services_Windows component  on XA6513 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0111367,3 - Moderate,ALERT:  A Baseline _Linux component  on tcmdev-sdsadm01.haasgroupintl.com is  Down,Linux Support,False,alert  a baseline _linux component  on tcmdev,alert   a baseline _ linux component   on tcmdev,linux support,                  linux support,                   linux support,6,component-microsoft
INC0111368,4 - Low, NODE ALERT: GJDEWEB04 has rebooted,JDE CNC Technical,False,                node alert gjdeweb04 has rebooted,                 node alert gjdeweb04 have reboot,jde cnc,              jde cnc technical,               jde cnc technical,3,node-reboot
INC0111369,2 - High,Critical ALERT:  A JDE_Webserver_services component  on GJDEWEB04 is in a current state of: Down,JDE CNC Technical,False,critical alert  a jde_webserver_services compo,critical alert   a jde_webserver_services compo,jde cnc,              jde cnc technical,               jde cnc technical,11,critical-device
INC0111372,4 - Low, NODE ALERT: GJDEWEB06 has rebooted,JDE CNC Technical,False,                node alert gjdeweb06 has rebooted,                 node alert gjdeweb06 have reboot,jde cnc,              jde cnc technical,               jde cnc technical,0,group-network
INC0111375,2 - High,NODE Down ALERT: XA6501 is Down,Citrix Support,False,                   node down alert xa6501 is down,                    node down alert xa6501 be down,citrix support,                 citrix support,                  citrix support,0,group-network
INC0111377,3 - Moderate,ALERT: Critical disk utilization in NIMBUS,Windows Support,False,        alert critical disk utilization in nimbus,         alert critical disk utilization in nimbus,windows support,                windows support,                 window support,13,memory-warn
INC0111381,3 - Moderate,Alert: Memory Utilization on tcmprd-haasr07.tcmis.com is warning,Linux Support,False,alert memory utilization on tcmprdhaasr07tcm,alert memory utilization on tcmprdhaasr07tcm,linux support,                  linux support,                   linux support,14,point-wpm
INC0111382,3 - Moderate,ALERT: Critical disk utilization in TXAU-SQL19-N1,Windows Support,False, alert critical disk utilization in txausql19n1,  alert critical disk utilization in txausql19n1,windows support,                windows support,                 window support,7,disk-space
INC0111390,2 - High,Critical Alert: Memory Utilization on usauitadmust01 is : 98 %,Windows Support,False,critical alert memory utilization on usauitadm,critical alert memory utilization on usauitadm,windows support,                windows support,                 window support,13,memory-warn
INC0111394,3 - Moderate,TIER 3 - Critical Device Down: UK-RED-TZ300-F01 is Down,Network Support,False,tier 3  critical device down ukredtz300f01,tier 3   critical device down ukredtz300f01,network support,                network support,                 network support,11,critical-device
INC0111395,2 - High,Critical Alert: Memory Utilization on SGSVSFS1 is : 98 %,Windows Support,False,critical alert memory utilization on sgsvsfs1 ,critical alert memory utilization on sgsvsfs1,windows support,                windows support,                 window support,13,memory-warn
INC0111401,3 - Moderate,ALERT: DISK SPACE on XA6519-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6519c label 88e6af70,alert disk space on xa6519c label 88e6af70,citrix support,                 citrix support,                  citrix support,7,disk-space
INC0111407,3 - Moderate,ALERT: Critical disk utilization in CAV-SQLDW03,Windows Support,False,   alert critical disk utilization in cavsqldw03,    alert critical disk utilization in cavsqldw03,windows support,                windows support,                 window support,3,node-reboot
INC0111409,4 - Low,ALERT: DISK SPACE on CAV-SQLDW01-E:\ Label:SQL_DATA 34580907 has currently 15 % is available,MS SQL Database Support,False,alert disk space on cavsqldw01e labelsql_,alert disk space on cavsqldw01e labelsql _,ms sql database support,        ms sql database support,         ms sql database support,8,warningt-ausmcl01
INC0111420,3 - Moderate,ALERT: Critical disk utilization in usauitadmust01,Windows Support,False,alert critical disk utilization in usauitadmust01,alert critical disk utilization in usauitadmust01,windows support,                windows support,                 window support,1,cpu-utilization
INC0111430,3 - Moderate,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Warning	,Windows Support,False,alert cpu utilization on ausesx17haasgroupin,alert cpu utilization on ausesx17haasgroupin,windows support,                windows support,                 window support,7,disk-space
INC0111433,3 - Moderate,Alert: CPU Utilization on AUS-MCL01 is Warning	,Windows Support,False,  alert cpu utilization on ausmcl01 is warningt,   alert cpu utilization on ausmcl01 be warningt,windows support,                windows support,                 window support,8,warningt-ausmcl01
INC0111438,3 - Moderate,Warning Alert: Memory Utilization on GBVVSCL3 is : 94 %,Windows Support,False,warning alert memory utilization on gbvvscl3 i,warn alert memory utilization on gbvvscl3 I,windows support,                windows support,                 window support,9,gbvvscl3-warn
INC0111439,2 - High,Alert: CPU Utilization on usauitadmust01 is Critical	,Windows Support,False,alert cpu utilization on usauitadmust01 is cri,alert cpu utilization on usauitadmust01 be cri,windows support,                windows support,                 window support,1,cpu-utilization
INC0111451,3 - Moderate,TIER 3 - Critical Device Down: IT-FRO-2960S-S01.wescoaircraft.com is Down,Network Support,False,tier 3  critical device down itfro2960ss01,tier 3   critical device down itfro2960ss01,network support,                network support,                 network support,12,tier-critical
INC0111455,3 - Moderate,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %,Windows Support,False,warning alert memory utilization on gbvvssq6 i,warn alert memory utilization on gbvvssq6 I,windows support,                windows support,                 window support,13,memory-warn
INC0111458,3 - Moderate,Warning Alert: Memory Utilization on GBVVSSQ6 is : 94 %,Windows Support,False,warning alert memory utilization on gbvvssq6 i,warn alert memory utilization on gbvvssq6 I,windows support,                windows support,                 window support,13,memory-warn
INC0111459,3 - Moderate,ALERT: DISK SPACE on XA6510-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6510c label 88e6af70,alert disk space on xa6510c label 88e6af70,citrix support,                 citrix support,                  citrix support,3,node-reboot
INC0111461,4 - Low,Critical Alert: Memory Utilization on GBVVSMS4 is : 99 %,Windows Support,False,critical alert memory utilization on gbvvsms4 ,critical alert memory utilization on gbvvsms4,windows support,                windows support,                 window support,1,cpu-utilization
INC0111464,3 - Moderate,TIER 3 - Critical Device Down: US-WIT-2960G-BCFT-S01.wescoaircraft.com is Down,Network Support,False,tier 3  critical device down uswit2960gbcf,tier 3   critical device down uswit2960gbcf,network support,                network support,                 network support,12,tier-critical
INC0111466,2 - High,Alert: Memory Utilization on tcmprd-haasr02.tcmis.com is in Critical,Linux Support,False,alert memory utilization on tcmprdhaasr02tcm,alert memory utilization on tcmprdhaasr02tcm,linux support,                  linux support,                   linux support,5,utilization-gbvvssq10
INC0111485,3 - Moderate,ALERT: DISK SPACE on XA6504-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6504c label 88e6af70,alert disk space on xa6504c label 88e6af70,citrix support,                 citrix support,                  citrix support,8,warningt-ausmcl01
INC0111496,3 - Moderate,Warning Alert: Memory Utilization on GBVVSMS4 is : 95 %,Windows Support,False,warning alert memory utilization on gbvvsms4 i,warn alert memory utilization on gbvvsms4 I,windows support,                windows support,                 window support,1,cpu-utilization
INC0111498,3 - Moderate,"GROUP ALERT: Group is Down - Network Team Tickets: Tier3 - BCFT: Wichita - AMER - 370 North Webb Road 100 East Building 20, Wichita, KS 67206, USA",Network Support,False,group alert group is down  network team ticke,group alert group be down   network team ticke,network support,                network support,                 network support,0,group-network
INC0111500,3 - Moderate,Warning Alert: Memory Utilization on AUS-BIPRD-PUB01 is : 97 %,Windows Support,False,warning alert memory utilization on ausbiprd,warn alert memory utilization on ausbiprd,windows support,                windows support,                 window support,13,memory-warn
INC0111502,3 - Moderate,ALERT: DISK SPACE on XA6503-C:\ Label: 88E6AF70 has currently 19 % is available,Citrix Support,False,alert disk space on xa6503c label 88e6af70,alert disk space on xa6503c label 88e6af70,citrix support,                 citrix support,                  citrix support,3,node-reboot
INC0111513,3 - Moderate,ALERT: DISK SPACE on XA6527-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6527c label 88e6af70,alert disk space on xa6527c label 88e6af70,citrix support,                 citrix support,                  citrix support,3,node-reboot
INC0111516,3 - Moderate,TIER 3 - Critical Device Down: FR-TAR-TZ300-F01 is Down,Network Support,False,tier 3  critical device down frtartz300f01,tier 3   critical device down frtartz300f01,network support,                network support,                 network support,12,tier-critical
INC0111518,3 - Moderate,Alert: CPU Utilization on AUS-MCL01 is Warning	,Windows Support,False,  alert cpu utilization on ausmcl01 is warningt,   alert cpu utilization on ausmcl01 be warningt,windows support,                windows support,                 window support,8,warningt-ausmcl01
INC0111519,3 - Moderate,ALERT: DISK SPACE on XA6513-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6513c label 88e6af70,alert disk space on xa6513c label 88e6af70,citrix support,                 citrix support,                  citrix support,8,warningt-ausmcl01
INC0111531,2 - High,Alert: CPU Utilization on AUS-BI02 is Critical	,Windows Support,False,  alert cpu utilization on ausbi02 is criticalt,   alert cpu utilization on ausbi02 be criticalt,windows support,                windows support,                 window support,1,cpu-utilization
INC0111532,2 - High,Critical ALERT:  A Microsoft IIS component  on G-MOVEITT1 is in a current state of: Down,Windows Support,False,critical alert  a microsoft iis component  on ,critical alert   a microsoft iis component   on,windows support,                windows support,                 window support,6,component-microsoft
INC0111544,2 - High,TIER 2 - Non-Critical Device Down: US-CSP-891-R01.wescoaircraft.com is Down,Network Support,False,tier 2  noncritical device down uscsp891r,tier 2   noncritical device down uscsp891r,network support,                network support,                 network support,9,gbvvscl3-warn
INC0111546,2 - High,Alert: CPU Utilization in GJDEWEB01 is Critical	,JDE CNC Technical,False, alert cpu utilization in gjdeweb01 is criticalt,  alert cpu utilization in gjdeweb01 be criticalt,jde cnc,              jde cnc technical,               jde cnc technical,5,utilization-gbvvssq10
INC0111548,3 - Moderate,Alert: CPU Utilization on G-OPTIOPD is Warning	,Windows Support,False,  alert cpu utilization on goptiopd is warningt,   alert cpu utilization on goptiopd be warningt,windows support,                windows support,                 window support,1,cpu-utilization
INC0111555,3 - Moderate,Alert: CPU Utilization on usauitadmust01 is Critical	,Windows Support,False,alert cpu utilization on usauitadmust01 is cri,alert cpu utilization on usauitadmust01 be cri,windows support,                windows support,                 window support,1,cpu-utilization
INC0111585,3 - Moderate,TIER 3 - Critical Device Down: US-WIT-891-CESPA-R01.wescoaircraft.com is Down,Network Support,False,tier 3  critical device down uswit891cespa,tier 3   critical device down uswit891cespa,network support,                network support,                 network support,12,tier-critical
INC0111588,2 - High,TIER 2 - Non-Critical Device Down: US-CSP-891-R01.wescoaircraft.com is Down,Network Support,False,tier 2  noncritical device down uscsp891r,tier 2   noncritical device down uscsp891r,network support,                network support,                 network support,9,gbvvscl3-warn
INC0111610,3 - Moderate,ALERT: DISK SPACE on XA6517-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6517c label 88e6af70,alert disk space on xa6517c label 88e6af70,citrix support,                 citrix support,                  citrix support,7,disk-space
INC0111611,2 - High,TIER 2 - Non-Critical Device Down: US-CSP-891-R01.wescoaircraft.com is Down,Network Support,False,tier 2  noncritical device down uscsp891r,tier 2   noncritical device down uscsp891r,network support,                network support,                 network support,9,gbvvscl3-warn
INC0111616,3 - Moderate,TIER 3 - Critical Device Down: US-WIT-891-CESPA-R01.wescoaircraft.com is Down,Network Support,False,tier 3  critical device down uswit891cespa,tier 3   critical device down uswit891cespa,network support,                network support,                 network support,12,tier-critical
INC0111627,3 - Moderate,"GROUP ALERT: Group is Down - Network Team Tickets: Tier2  - Colorado Springs - AMER - 1275 North Newport Road, Colorado Springs, Colorado 80913, USA",Network Support,False,group alert group is down  network team ticke,group alert group be down   network team ticke,network support,                network support,                 network support,0,group-network
INC0111645,2 - High,Alert: CPU Utilization on G-OPTIOPD is Critical	,Windows Support,False, alert cpu utilization on goptiopd is criticalt,  alert cpu utilization on goptiopd be criticalt,windows support,                windows support,                 window support,1,cpu-utilization
INC0111648,3 - Moderate,ALERT: DISK SPACE on XA6526-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6526c label 88e6af70,alert disk space on xa6526c label 88e6af70,citrix support,                 citrix support,                  citrix support,7,disk-space
INC0111663,3 - Moderate,ALERT: DISK SPACE on XA6515-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6515c label 88e6af70,alert disk space on xa6515c label 88e6af70,citrix support,                 citrix support,                  citrix support,3,node-reboot
INC0111664,3 - Moderate,ALERT: DISK SPACE on XA6512-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6512c label 88e6af70,alert disk space on xa6512c label 88e6af70,citrix support,                 citrix support,                  citrix support,7,disk-space
INC0111666,3 - Moderate,Warning Alert: Memory Utilization on USAZSCCMCAS01 is : 94 %,Windows Support,False,warning alert memory utilization on usazsccmca,warn alert memory utilization on usazsccmca,windows support,                windows support,                 window support,13,memory-warn
INC0111668,3 - Moderate,ALERT: DISK SPACE on XA6520-C:\ Label: 88E6AF70 has currently 18 % is available,Citrix Support,False,alert disk space on xa6520c label 88e6af70,alert disk space on xa6520c label 88e6af70,citrix support,                 citrix support,                  citrix support,8,warningt-ausmcl01
INC0111674,3 - Moderate,Warning Alert: Memory Utilization on AUS-ORIONAPP02 is : 97 %,Windows Support,False,warning alert memory utilization on ausoriona,warn alert memory utilization on ausoriona,windows support,                windows support,                 window support,10,esx-utilization
INC0111676,3 - Moderate,ALERT: DISK SPACE on XA6505-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6505c label 88e6af70,alert disk space on xa6505c label 88e6af70,citrix support,                 citrix support,                  citrix support,8,warningt-ausmcl01
INC0111680,3 - Moderate,ALERT: DISK SPACE on XA6514-C:\ Label: 88E6AF70 has currently 19 % is available,Citrix Support,False,alert disk space on xa6514c label 88e6af70,alert disk space on xa6514c label 88e6af70,citrix support,                 citrix support,                  citrix support,8,warningt-ausmcl01
INC0111681,3 - Moderate,ALERT: DISK SPACE on XA6506-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6506c label 88e6af70,alert disk space on xa6506c label 88e6af70,citrix support,                 citrix support,                  citrix support,3,node-reboot
INC0111686,2 - High,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws04.tcmis.com is Down,Linux Support,False,alert  a m5 monitoring tomcat component  on tc,alert   a m5 monitoring tomcat component   on tc,linux support,                  linux support,                   linux support,6,component-microsoft
INC0111687,2 - High,Critical ALERT:  A TCMIS services 2.0 component  on tcmprd-ws04.tcmis.com is Down,Linux Support,False,critical alert  a tcmis services 20 component,critical alert   a tcmis service 20 component,linux support,                  linux support,                   linux support,11,critical-device
INC0111688,2 - High, NODE ALERT: ITEST2.WESCOHQ.COM is Down,JDE CNC Technical,False,            node alert itest2wescohqcom is down,             node alert itest2wescohqcom be down,jde cnc,              jde cnc technical,               jde cnc technical,2,baseline-services_window
INC0111690,4 - Low, NODE ALERT: VALJDELOG01 has rebooted,JDE CNC Technical,False,              node alert valjdelog01 has rebooted,               node alert valjdelog01 have reboot,jde cnc,              jde cnc technical,               jde cnc technical,3,node-reboot
INC0111691,3 - Moderate,ALERT: DISK SPACE on XA6507-C:\ Label: 88E6AF70 has currently 20 % is available,Citrix Support,False,alert disk space on xa6507c label 88e6af70,alert disk space on xa6507c label 88e6af70,citrix support,                 citrix support,                  citrix support,3,node-reboot
INC0111692,2 - High,ALERT:  A M5 Monitoring Tomcat component  on tcmprd-ws02.tcmis.com is Down,Linux Support,False,alert  a m5 monitoring tomcat component  on tc,alert   a m5 monitoring tomcat component   on tc,linux support,                  linux support,                   linux support,6,component-microsoft
INC0111693,4 - Low, NODE ALERT: DEVJDEJAS2 has rebooted,JDE CNC Technical,False,               node alert devjdejas2 has rebooted,                node alert devjdejas2 have reboot,jde cnc,              jde cnc technical,               jde cnc technical,3,node-reboot
INC0111694,2 - High,Critical ALERT:  A TCMIS services 2.0 component  on tcmprd-ws02.tcmis.com is Down,Linux Support,False,critical alert  a tcmis services 20 component,critical alert   a tcmis service 20 component,linux support,                  linux support,                   linux support,11,critical-device
INC0111695,3 - Moderate,Alert: CPU Utilization on AUS-BIPRD-PUB02 is Warning	,Windows Support,False,alert cpu utilization on ausbiprdpub02 is wa,alert cpu utilization on ausbiprdpub02 be wa,windows support,                windows support,                 window support,5,utilization-gbvvssq10
INC0111699,2 - High,Critical ALERT:  A Baseline Services_Windows component  on G-TRAXDEV01 is in a current state of: Down,Windows Support,False,critical alert  a baseline services_windows co,critical alert   a baseline services_window co,windows support,                windows support,                 window support,2,baseline-services_window
INC0111701,3 - Moderate,TIER 3 - Critical Device Down: US-WIT-891-CESPA-R01.wescoaircraft.com is Down,Network Support,False,tier 3  critical device down uswit891cespa,tier 3   critical device down uswit891cespa,network support,                network support,                 network support,12,tier-critical
INC0111702,3 - Moderate,TIER 3 - Critical Device Down: IN-BAN-2960S-S01.wescoaircraft.com is Down,Network Support,False,tier 3  critical device down inban2960ss01,tier 3   critical device down inban2960ss01,network support,                network support,                 network support,11,critical-device
INC0111703,3 - Moderate,Alert: CPU Utilization on aus-esx13.haasgroupintl.com is Warning	,Windows Support,False,alert cpu utilization on ausesx13haasgroupin,alert cpu utilization on ausesx13haasgroupin,windows support,                windows support,                 window support,2,baseline-services_window
INC0111704,3 - Moderate,Alert: CPU Utilization on aus-esx17.haasgroupintl.com is Warning	,Windows Support,False,alert cpu utilization on ausesx17haasgroupin,alert cpu utilization on ausesx17haasgroupin,windows support,                windows support,                 window support,7,disk-space
INC0111707,3 - Moderate,TIER 3 - Critical Device Down: US-EUC-C1111-R01.wescoaircraft.com is Down,Network Support,False,tier 3  critical device down useucc1111r01,tier 3   critical device down useucc1111r01,network support,                network support,                 network support,11,critical-device
INC0111709,3 - Moderate,TIER 3 - Critical Device Down: US-WIT-891-CESPA-R01.wescoaircraft.com is Down,Network Support,False,tier 3  critical device down uswit891cespa,tier 3   critical device down uswit891cespa,network support,                network support,                 network support,12,tier-critical
INC0111710,4 - Low, NODE ALERT: GJDEWEB01 has rebooted,JDE CNC Technical,False,                node alert gjdeweb01 has rebooted,                 node alert gjdeweb01 have reboot,jde cnc,              jde cnc technical,               jde cnc technical,3,node-reboot
INC0111711,2 - High,Alert: CPU Utilization on GBVVSDV0 is Critical	,Windows Support,False,  alert cpu utilization on gbvvsdv0 is criticalt,   alert cpu utilization on gbvvsdv0 be criticalt,windows support,                windows support,                 window support,1,cpu-utilization
